100	0	0	0
200	0	0	0
300	0	0	0
400	0	0	0
500	1	0	0
600	1	0	0
700	2	0	0
800	2	0	0
900	2	0	0
1000	2	0	0
1100	3	0	0
1200	4	0	0
1300	5	0	0
1400	6	0	0
1500	7	0	0
1600	8	0	0
1700	8	0	0
1800	9	0	0
1900	13	0	0
2000	14	0	0
2100	15	1	0
2200	14	1	0
2300	16	1	0
2400	17	1	0
2500	18	1	0
2600	19	1	0
2700	21	2	0
2800	22	2	0
2900	23	2	0
3000	25	2	0
3100	26	2	0
3200	27	2	0
3300	29	2	0
3400	30	3	0
3500	36	2	0
3600	38	3	0
3700	39	2	0
3800	40	3	0
3900	42	3	0
4000	44	4	0
4100	45	4	0
4200	51	5	0
4300	53	5	0
4400	55	6	0
4500	59	5	0
4600	59	7	0
4700	61	6	0
4800	63	6	0
4900	66	6	0
5000	69	6	0
5100	72	7	0
5200	75	7	0
5300	78	7	0
5400	81	7	0
5500	84	8	0
5600	87	8	0
5700	90	8	0
5800	93	8	0
5900	96	9	0
6000	99	9	0
6100	102	9	0
6200	105	9	0
6300	108	10	0
6400	111	10	0
6500	114	10	0
6600	131	12	0
6700	135	12	0
6800	139	13	0
6900	142	13	0
7000	147	13	0
7100	150	14	0
7200	154	14	0
7300	158	14	0
7400	162	15	0
7500	166	15	0
7600	169	15	0
7700	174	16	0
7800	177	16	0
7900	181	16	0
8000	185	17	0
8100	190	17	0
8200	194	17	0
8300	240	23	0
8400	245	23	0
8500	250	23	0
8600	255	23	0
8700	260	24	0
8800	265	24	0
8900	274	25	0
9000	276	25	0
9100	283	26	0
9200	286	26	0
9300	291	27	0
9400	296	18	0
9500	301	21	0
9600	306	22	0
9700	312	22	0
9800	317	22	0
9900	322	23	0
10000	328	23	0
10100	334	23	0
10200	397	22	0
10300	403	26	0
10400	409	23	0
10500	416	27	0
10600	422	24	0
10700	427	28	0
10800	434	26	0
10900	440	29	0
11000	446	27	0
11100	452	30	0
11200	458	28	0
11300	465	31	0
11400	471	29	0
11500	477	32	0
11600	485	30	0
11700	490	33	0
11800	497	31	0
11900	503	34	0
12000	510	32	0
12100	516	35	0
12200	522	34	0
12300	611	40	0
12400	618	38	0
12500	627	40	0
12600	634	39	0
12700	642	42	0
12800	649	40	0
12900	657	43	0
13000	664	42	0
13100	672	44	0
13200	681	43	0
13300	688	45	0
13400	696	45	0
13500	703	47	0
13600	712	46	0
13700	718	48	0
13800	725	47	0
13900	734	49	0
14000	741	49	0
14100	749	50	0
14200	757	50	0
14300	766	50	0
14400	773	52	0
14500	781	51	0
14600	791	53	0
14700	800	52	0
14800	813	55	0
14900	819	53	0
15000	827	56	0
15100	832	55	0
15200	846	58	0
15300	849	56	0
15400	856	59	0
15500	864	57	0
15600	872	60	0
15700	880	59	0
15800	889	62	0
15900	897	61	0
16000	906	63	0
16100	915	62	0
16200	922	65	0
16300	931	63	0
16400	940	66	0
16500	1190	73	0
16600	1197	81	0
16700	1209	75	0
16800	1217	83	0
16900	1228	76	0
17000	1241	85	0
17100	1248	78	0
17200	1263	87	0
17300	1271	79	0
17400	1282	89	0
17500	1290	81	0
17600	1301	91	0
17700	1312	82	0
17800	1323	92	0
17900	1337	84	0
18000	1347	96	0
18100	1355	85	0
18200	1366	96	0
18300	1379	87	0
18400	1386	98	0
18500	1398	89	0
18600	1409	100	0
18700	1423	90	0
18800	1433	102	0
18900	1443	94	0
19000	1453	104	0
19100	1467	94	0
19200	1478	105	0
19300	1489	95	0
19400	1497	107	0
19500	1507	97	0
19600	1520	109	0
19700	1530	98	0
19800	1544	111	0
19900	1555	98	0
20000	1567	113	0
